1,219004.727,2301084.838,271.88,L_001
2,215698.363,2299505.132,272.431,L_001_B
3,218657.13,2301002.88,268.874,L_002
4,215653.222,2300460.799,272.407,L_002_A
5,218333.277,2300861.94,267.484,L_003
6,218073.281,2300769.325,266.755,L_004
7,217778.923,2300665.256,270.233,L_005
8,217474.321,2300559.223,270.672,L_006
9,216907.205,2300367.53,267.607,L_007
10,216178.102,2300118.81,270.089,L_008
11,215883.744,2300018.423,272.332,L_009
12,219017.751,2301160.328,272.375,R_001
13,218379.421,2300935.024,267.465,R_002
14,218125.356,2300852.537,267.997,R_003
15,217491.48,2300639.774,271.74,R_004
16,217241.13,2300567.139,268.463,R_005
17,216451.236,2300287.88,262.921,R_006
18,215911.714,2300108.628,271.88,R_007
